k-mean db ica train 2;5.564793788;5.718545917;5.455609895;3.277844481;3.734182014;2.820045189;2.367871627;1.703708389;1.506850785;1.289841474
k-mean db ica test 2;7.536741551;6.423860857;5.487216904;5.819977599;4.510970025;4.828752994;4.231924460;4.874948955;4.022748769;3.831566477
gmm db ica train 2;20.173970236;15.216281771;10.270688521;17.483725910;12.792455287;8.674073967;7.014876810;4.680105067;3.486205974;2.639943760
gmm db ica test 2;15.969919902;15.969919902;16.065216984;21.132679289;21.235694276;16.029347613;18.515069415;19.726271407;19.051085955;19.154014377
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil grp train 1;0.166774228;0.167198929;0.140682014;0.125432716;0.119274428;0.104196384;0.094430960;0.087240766;0.082106147;0.076909731
k-mean sil grp test 1;0.167089192;0.165258798;0.129613994;0.118273607;0.121179371;0.083417894;0.074644323;0.066409320;0.058782144;0.031704874
gmm sil grp train 1;0.177996908;0.127465553;0.078099240;0.068960346;0.061384490;0.074167715;0.064916483;0.070449836;0.067410475;0.069556220
gmm sil grp test 1;0.164010086;0.120491469;0.042021000;0.049734410;0.033216975;0.019202264;-0.030494936;-0.046146571;-0.094744497;-0.105771756
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil grp train 2;0.617207304;0.617495002;0.086864190;0.098090592;0.096195339;0.054164420;0.015481413;0.007992631;0.008086012;-0.003400561
k-mean sil grp test 2;0.602912310;0.604112311;0.089744911;0.097220245;0.099321235;0.045921324;0.004605728;0.001391537;-0.013929659;-0.023845422
gmm sil grp train 2;-0.040319881;-0.078809826;-0.054308409;-0.070974657;-0.063539979;-0.059857270;-0.059710789;-0.066137667;-0.074692663;-0.048944827
gmm sil grp test 2;-0.055165400;-0.084041942;-0.073979338;-0.082255870;-0.101021905;-0.090863321;-0.097217814;-0.121154794;-0.129486649;-0.109789320
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db grp train 1;1.940241413;1.861381928;2.015897386;2.014253679;1.854730693;1.933011896;1.944815999;1.888774095;1.911863876;1.729952145
k-mean db grp test 1;1.938192357;1.886643753;2.089832672;1.990948048;1.737838162;1.912995394;1.872177490;1.879903584;1.880334933;1.765171142
gmm db grp train 1;2.715762090;2.437041000;2.587443586;2.504603536;2.330767168;2.204192767;2.240075475;2.123450961;1.953862021;1.869737524
gmm db grp test 1;2.811866242;2.574338733;2.811821965;2.786963240;2.606966602;2.469959095;2.577019362;2.965354989;2.532959631;2.714461541
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db grp train 2;3.032786368;3.007322672;2.883307579;2.805570912;2.692236223;2.546570035;2.313810016;2.086840671;1.741836654;1.501180572
k-mean db grp test 2;2.869434607;3.252269610;3.051635583;2.837937976;2.611204223;2.380393931;2.332304951;2.093766367;1.982200888;1.929376978
gmm db grp train 2;36.197753509;33.884207518;18.435175467;13.314999380;8.807256909;7.392528764;5.327178164;3.301289448;2.937412810;2.004310952
gmm db grp test 2;22.079630862;19.807942824;22.758329829;19.891365956;18.697559117;21.920965897;18.739388779;17.791973343;16.465330691;11.714176138
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil fa train 1;0.234668879;0.236310745;0.228208608;0.246229606;0.247180603;0.223412353;0.192001733;0.182292326;0.174810950;0.158417310
k-mean sil fa test 1;0.240412613;0.249433785;0.227707445;0.224820171;0.228530279;0.207698321;0.168313428;0.152460255;0.125820185;0.098028910
gmm sil fa train 1;0.141501517;0.142220359;0.165514995;0.157717890;0.146929111;0.090040867;0.014451288;0.001273494;0.037550518;0.041971084
gmm sil fa test 1;0.120388564;0.144716424;0.153308231;0.026300166;0.132283684;0.075983794;-0.075306064;-0.055076476;-0.090469039;-0.120235750
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean sil fa train 2;0.613506486;0.096229659;0.086394628;0.057527991;0.062243786;0.046539096;0.031769125;0.032022474;0.015443625;-0.001545903
k-mean sil fa test 2;0.618789830;0.079352591;0.094600338;0.068400466;0.070161263;0.044723878;0.028812618;0.017593486;0.008638150;-0.021560726
gmm sil fa train 2;-0.052746454;-0.055787635;-0.073058535;-0.061643398;-0.058838008;0.057894205;-0.073296989;-0.049866315;-0.063437687;-0.062990885
gmm sil fa test 2;-0.067331299;-0.070746943;-0.080534410;-0.084401635;-0.084661395;0.072030820;-0.115534820;-0.098935323;-0.132675845;-0.151088479
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db fa train 1;1.473671687;1.525907721;1.268092606;1.236286981;1.197485725;1.267280392;1.393461449;1.380966732;1.381192324;1.363023878
k-mean db fa test 1;1.416654643;1.483308289;1.560136494;1.373898873;1.284907793;1.327657329;1.462072010;1.429254567;1.358401443;1.389468067
gmm db fa train 1;2.178125633;2.272890719;1.936847290;2.161651193;1.845983859;1.981871102;1.997000834;2.062975689;1.860993514;1.589065371
gmm db fa test 1;2.208883448;2.177171866;1.923436448;1.925699312;2.014393816;2.180572968;2.062441994;2.638994972;2.146841788;2.443674463
Cluster;3;4;6;10;14;21;31;46;68;100
k-mean db fa train 2;3.356404152;3.348013900;3.142645165;3.121010370;2.841484695;2.475845218;2.363721890;2.003208429;1.762683901;1.578905166
k-mean db fa test 2;3.033303696;3.166817961;3.043233618;3.086127802;2.795840757;2.758863184;2.443466478;2.373976284;2.167495493;2.047754317
gmm db fa train 2;35.729078409;28.181022182;22.925231268;12.924389723;9.827016784;4.274942687;5.909946294;3.032700686;2.772898279;2.385852534
gmm db fa test 2;21.631801704;17.408796776;22.100723638;19.460456625;25.459376868;19.885009124;17.995490665;11.433079715;15.369209041;13.086320642
